cluster,start,end,length,label
fall_cluster_1,999,1066,68,fall
fall_cluster_1,1117,1210,94,fall
fall_cluster_1,2327,2537,211,fall
fall_cluster_1,3466,3681,216,fall
fall_cluster_1,4541,4776,236,fall
fall_cluster_1,5714,5925,212,fall
fall_cluster_1,7166,7370,205,fall
fall_cluster_1,8312,8517,206,fall
fall_cluster_1,9950,10188,239,fall
fall_cluster_1,11145,11358,214,fall
fall_cluster_1,12994,13178,185,fall
fall_cluster_1,14243,14453,211,fall
fall_cluster_1,15961,16176,216,fall
fall_cluster_1,17221,17419,199,fall
fall_cluster_1,18821,19051,231,fall
fall_cluster_1,20236,20449,214,fall
fall_cluster_1,21931,22145,215,fall
fall_cluster_1,23184,23394,211,fall
fall_cluster_1,24339,24529,191,fall
fall_cluster_1,25537,25746,210,fall
fall_cluster_1,27604,27810,207,fall
fall_cluster_1,28567,28768,202,fall
fall_cluster_1,30060,30279,220,fall
fall_cluster_1,31205,31407,203,fall
fall_cluster_1,32592,32803,212,fall
fall_cluster_1,33659,33858,200,fall
fall_cluster_1,35132,35322,191,fall
fall_cluster_1,36110,36197,88,fall
fall_cluster_1,38796,38890,95,fall
fall_cluster_1,40018,40204,187,fall
fall_cluster_1,41315,41409,95,fall
fall_cluster_1,42368,42556,189,fall
fall_cluster_1,43333,43424,92,fall
fall_cluster_1,44350,44561,212,fall
fall_cluster_1,45504,45601,98,fall
fall_cluster_1,46751,46994,244,fall
fall_cluster_1,47998,48093,96,fall
fall_cluster_1,49197,49394,198,fall
fall_cluster_1,50220,50412,193,fall
fall_cluster_1,51682,51925,244,fall
fall_cluster_1,52919,53016,98,fall
fall_cluster_1,54045,54242,198,fall
fall_cluster_1,55156,55255,100,fall
fall_cluster_1,56439,56605,167,fall
fall_cluster_1,57678,57773,96,fall
fall_cluster_2,1037,1245,209,fall
fall_cluster_2,3153,3365,213,fall
fall_cluster_2,5403,5614,212,fall
fall_cluster_2,6999,7240,242,fall
fall_cluster_2,8628,8840,213,fall
fall_cluster_2,10096,10327,232,fall
fall_cluster_2,11820,11882,63,fall
fall_cluster_2,11933,12027,95,fall
fall_cluster_2,15004,15229,226,fall
fall_cluster_2,16626,16871,246,fall
fall_cluster_2,18928,19131,204,fall
fall_cluster_2,20811,21053,243,fall
fall_cluster_2,22877,23076,200,fall
fall_cluster_2,24412,24640,229,fall
fall_cluster_2,26588,26795,208,fall
fall_cluster_2,31732,31944,213,fall
fall_cluster_2,33732,33938,207,fall
fall_cluster_2,35371,35433,63,fall
fall_cluster_2,35484,35574,91,fall
fall_cluster_2,36686,36877,192,fall
fall_cluster_2,39472,39570,99,fall
fall_cluster_2,41160,41343,184,fall
fall_cluster_2,43138,43235,98,fall
fall_cluster_2,44652,44870,219,fall
fall_cluster_2,46078,46286,209,fall
fall_cluster_2,46967,47191,225,fall
fall_cluster_2,49460,49555,96,fall
fall_cluster_2,52551,52612,62,fall
fall_cluster_2,52665,52758,94,fall
fall_cluster_2,53994,54169,176,fall
fall_cluster_2,55469,55529,61,fall
fall_cluster_2,55581,55673,93,fall
fall_cluster_2,56982,57209,228,fall
fall_cluster_2,58251,58316,66,fall
fall_cluster_2,58369,58462,94,fall
fall_cluster_2,62271,62337,67,fall
fall_cluster_2,62388,62483,96,fall
fall_cluster_2,63553,63782,230,fall
fall_cluster_2,65468,65527,60,fall
fall_cluster_2,65580,65676,97,fall
fall_cluster_2,68695,68909,215,fall
fall_cluster_2,70308,70532,225,fall
fall_cluster_2,72746,72954,209,fall
fall_cluster_2,75362,75568,207,fall
fall_cluster_2,77762,77970,209,fall
fall_cluster_2,80994,81093,100,fall
fall_cluster_2,82315,82490,176,fall
fall_cluster_2,83911,83981,71,fall
fall_cluster_2,84032,84129,98,fall
fall_cluster_3,1445,1652,208,fall
fall_cluster_3,2379,2560,182,fall
fall_cluster_3,3230,3429,200,fall
fall_cluster_3,4071,4320,250,fall
fall_cluster_3,5024,5221,198,fall
fall_cluster_3,5972,6136,165,fall
fall_cluster_3,6752,6947,196,fall
fall_cluster_3,7654,7839,186,fall
fall_cluster_3,8497,8694,198,fall
fall_cluster_3,9523,9687,165,fall
fall_cluster_3,10442,10631,190,fall
fall_cluster_3,11350,11515,166,fall
fall_cluster_3,12326,12525,200,fall
fall_cluster_3,13506,13678,173,fall
fall_cluster_3,14391,14581,191,fall
fall_cluster_3,15329,15517,189,fall
fall_cluster_3,16199,16391,193,fall
fall_cluster_3,17373,17558,186,fall
fall_cluster_3,18444,18635,192,fall
fall_cluster_3,19340,19490,151,fall
fall_cluster_3,20221,20410,190,fall
fall_cluster_3,21240,21386,147,fall
fall_cluster_3,22008,22227,220,fall
fall_cluster_3,23208,23412,205,fall
fall_cluster_3,24174,24371,198,fall
fall_cluster_3,25520,25707,188,fall
fall_cluster_3,26549,26737,189,fall
fall_cluster_3,28078,28297,220,fall
fall_cluster_3,29467,29661,195,fall
fall_cluster_3,30768,31007,240,fall
fall_cluster_3,31750,31940,191,fall
fall_cluster_3,33309,33522,214,fall
fall_cluster_3,34559,34753,195,fall
fall_cluster_3,35716,35872,157,fall
fall_cluster_3,36409,36595,187,fall
fall_cluster_3,37636,37822,187,fall
fall_cluster_3,38683,38864,182,fall
fall_cluster_3,40003,40211,209,fall
fall_cluster_3,40844,41046,203,fall
fall_cluster_3,42140,42339,200,fall
fall_cluster_3,43625,43820,196,fall
fall_cluster_3,46564,46756,193,fall
fall_cluster_3,48012,48074,63,fall
fall_cluster_3,48148,48256,109,fall
fall_cluster_3,49339,49534,196,fall
fall_cluster_3,50471,50658,188,fall
fall_cluster_3,51759,51953,195,fall
fall_cluster_3,53411,53577,167,fall
fall_cluster_3,54647,54835,189,fall
fall_cluster_3,56541,56706,166,fall
fall_cluster_3,57628,57827,200,fall
fall_cluster_3,58922,59090,169,fall
fall_cluster_3,60085,60275,191,fall
fall_cluster_3,61487,61670,184,fall
fall_cluster_3,62620,62806,187,fall
fall_cluster_3,64334,64508,175,fall
fall_cluster_3,65445,65640,196,fall
fall_cluster_3,66770,66955,186,fall
fall_cluster_3,67917,68113,197,fall
fall_cluster_3,69113,69309,197,fall
fall_cluster_3,70118,70317,200,fall
fall_cluster_3,71129,71321,193,fall
fall_cluster_3,72729,72916,188,fall
fall_cluster_3,74143,74362,220,fall
fall_cluster_3,75034,75227,194,fall
fall_cluster_3,76450,76646,197,fall
fall_cluster_3,77921,78121,201,fall
fall_cluster_4,2764,2992,229,fall
fall_cluster_4,3651,3886,236,fall
fall_cluster_4,5520,5732,213,fall
fall_cluster_4,7459,7690,232,fall
fall_cluster_4,8869,9088,220,fall
fall_cluster_4,9958,10174,217,fall
fall_cluster_4,11105,11340,236,fall
fall_cluster_4,12072,12279,208,fall
fall_cluster_4,13542,13761,220,fall
fall_cluster_4,14640,14831,192,fall
fall_cluster_4,16112,16357,246,fall
fall_cluster_4,17274,17466,193,fall
fall_cluster_4,18644,18878,235,fall
fall_cluster_4,20818,21038,221,fall
fall_cluster_4,23088,23308,221,fall
fall_cluster_4,25528,25766,239,fall
fall_cluster_4,28435,28664,230,fall
fall_cluster_4,29507,29740,234,fall
fall_cluster_4,30975,31190,216,fall
fall_cluster_4,31976,32225,250,fall
fall_cluster_4,33115,33353,239,fall
fall_cluster_4,34164,34380,217,fall
